epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,617.177,1.38511,1.11628,0.96359,0.97484,0.98502,0.995,0.67454,1.15792,1.08299,0.88297,0.000665057,0.000665057,0.000665057
56,627.036,1.28968,1.06951,0.96363,0.9374,0.98897,0.995,0.66953,1.25116,1.11269,0.89973,0.000650909,0.000650909,0.000650909
57,636.251,1.3649,1.056,0.9937,0.9374,0.98897,0.995,0.66953,1.25116,1.11269,0.89973,0.000636762,0.000636762,0.000636762
58,645.376,1.31468,1.08376,0.94967,0.93626,0.99695,0.995,0.66593,1.25024,1.15039,0.89482,0.000622615,0.000622615,0.000622615
59,654.565,1.32101,1.10927,0.92735,0.94169,0.98843,0.995,0.65557,1.25467,1.18433,0.8943,0.000608468,0.000608468,0.000608468
60,663.658,1.37592,1.0312,0.93082,0.98452,0.97407,0.99442,0.63915,1.27097,1.10587,0.89686,0.000594321,0.000594321,0.000594321
61,672.748,1.26838,1.00784,0.90599,0.98452,0.97407,0.99442,0.63915,1.27097,1.10587,0.89686,0.000580174,0.000580174,0.000580174
62,681.074,1.27346,1.05173,0.95443,0.97468,0.99946,0.99239,0.62115,1.26243,1.0288,0.89589,0.000566027,0.000566027,0.000566027
63,689.038,1.29694,1.0192,0.90634,0.95583,0.98869,0.9937,0.64796,1.20023,0.97151,0.88306,0.00055188,0.00055188,0.00055188
64,696.914,1.25543,0.9956,0.95772,0.94254,0.98819,0.9937,0.64619,1.15903,0.96858,0.87414,0.000537733,0.000537733,0.000537733
65,704.872,1.18984,0.97312,0.93684,0.94254,0.98819,0.9937,0.64619,1.15903,0.96858,0.87414,0.000523586,0.000523586,0.000523586
66,713.023,1.33993,1.05573,0.95686,0.92907,1,0.995,0.67018,1.13649,0.95699,0.87024,0.000509438,0.000509438,0.000509438
67,720.98,1.20356,0.97168,0.91694,0.94783,0.99624,0.995,0.66793,1.15758,0.95574,0.87417,0.000495291,0.000495291,0.000495291
68,728.901,1.3383,1.00733,0.9595,0.94964,0.99345,0.995,0.69275,1.12228,0.9096,0.87017,0.000481144,0.000481144,0.000481144
69,736.793,1.28064,0.97349,0.94433,0.94964,0.99345,0.995,0.69275,1.12228,0.9096,0.87017,0.000466997,0.000466997,0.000466997
70,744.694,1.26319,0.96892,0.91572,0.94152,0.99362,0.995,0.71505,1.08943,0.85958,0.86336,0.00045285,0.00045285,0.00045285
71,752.43,1.15282,0.91755,0.89635,0.95879,0.97644,0.995,0.71933,1.05298,0.82685,0.85812,0.000438703,0.000438703,0.000438703
72,760.125,1.17395,0.92566,0.90222,0.92734,0.99213,0.99442,0.73404,1.02547,0.83454,0.85287,0.000424556,0.000424556,0.000424556
73,767.863,1.27479,0.99935,0.93941,0.92734,0.99213,0.99442,0.73404,1.02547,0.83454,0.85287,0.000410409,0.000410409,0.000410409
74,775.609,1.21463,0.92866,0.93238,0.92272,0.99356,0.99442,0.76435,1.02384,0.84955,0.85204,0.000396262,0.000396262,0.000396262
75,783.343,1.18676,0.96179,0.91154,0.93884,0.9839,0.995,0.74751,1.02366,0.86947,0.85001,0.000382115,0.000382115,0.000382115
76,791.075,1.20601,0.93719,0.88192,0.95231,0.99942,0.995,0.75053,1.05167,0.86401,0.85378,0.000367967,0.000367967,0.000367967
77,803.912,1.18181,0.95981,0.92023,0.95231,0.99942,0.995,0.75053,1.05167,0.86401,0.85378,0.00035382,0.00035382,0.00035382
78,820.276,1.17497,0.92554,0.91835,0.95695,0.99431,0.995,0.74848,1.06874,0.82818,0.85644,0.000339673,0.000339673,0.000339673
79,834.328,1.19835,0.89255,0.91055,0.96407,0.99532,0.995,0.75216,1.05394,0.80588,0.85318,0.000325526,0.000325526,0.000325526
80,848.498,1.18585,0.89008,0.90451,0.96611,1,0.995,0.77448,1.02343,0.8009,0.84957,0.000311379,0.000311379,0.000311379
81,862.925,1.16131,0.87633,0.90369,0.96611,1,0.995,0.77448,1.02343,0.8009,0.84957,0.000297232,0.000297232,0.000297232
82,873.696,1.13747,0.89249,0.90401,0.96475,1,0.995,0.78828,0.99833,0.79745,0.84553,0.000283085,0.000283085,0.000283085
83,882.965,1.14483,0.87961,0.90218,0.96371,1,0.995,0.76701,0.97931,0.77963,0.84252,0.000268938,0.000268938,0.000268938
84,892.277,1.13102,0.85311,0.88838,0.9619,0.99884,0.995,0.74344,0.96374,0.77333,0.83951,0.000254791,0.000254791,0.000254791
85,904.11,1.0886,0.91221,0.8989,0.9619,0.99884,0.995,0.74344,0.96374,0.77333,0.83951,0.000240644,0.000240644,0.000240644
86,913.635,1.12721,0.8775,0.89964,0.9585,0.99462,0.995,0.74508,0.95777,0.77727,0.83851,0.000226497,0.000226497,0.000226497
87,922.969,1.04024,0.84406,0.88207,0.95665,0.99266,0.995,0.74569,0.95343,0.77919,0.83881,0.000212349,0.000212349,0.000212349
88,932.261,1.2436,0.90107,0.91297,0.95519,0.99095,0.995,0.75032,0.95269,0.78331,0.8384,0.000198202,0.000198202,0.000198202
89,943.61,1.14439,0.92486,0.93087,0.95519,0.99095,0.995,0.75032,0.95269,0.78331,0.8384,0.000184055,0.000184055,0.000184055
90,954.156,1.04118,0.85906,0.86254,0.95534,0.98986,0.995,0.77155,0.93966,0.78348,0.83585,0.000169908,0.000169908,0.000169908
91,963.413,1.12408,0.95328,0.89907,0.95777,0.98773,0.995,0.77455,0.92375,0.77905,0.83173,0.000155761,0.000155761,0.000155761
92,972.372,1.05884,0.85005,0.91142,0.96377,0.98662,0.995,0.78301,0.92463,0.76381,0.83112,0.000141614,0.000141614,0.000141614
93,981.215,1.05188,0.85794,0.89589,0.96377,0.98662,0.995,0.78301,0.92463,0.76381,0.83112,0.000127467,0.000127467,0.000127467
94,990.147,1.07014,0.83456,0.93805,0.96475,0.99096,0.995,0.7996,0.91746,0.75889,0.8295,0.00011332,0.00011332,0.00011332
95,999.294,1.04078,0.8394,0.91809,0.96377,0.99936,0.995,0.80045,0.90718,0.7569,0.82789,9.91726e-05,9.91726e-05,9.91726e-05
96,1008.46,1.05269,0.85123,0.90703,0.96304,1,0.995,0.79773,0.89211,0.75546,0.82526,8.50255e-05,8.50255e-05,8.50255e-05
97,1017.39,0.97925,0.82518,0.90138,0.96304,1,0.995,0.79773,0.89211,0.75546,0.82526,7.08784e-05,7.08784e-05,7.08784e-05
98,1026.03,0.97402,0.80416,0.89608,0.96142,0.99813,0.995,0.79861,0.88334,0.74952,0.82318,5.67313e-05,5.67313e-05,5.67313e-05
99,1035.22,1.06392,0.81948,0.91858,0.96033,0.99715,0.995,0.79847,0.87834,0.74745,0.82221,4.25842e-05,4.25842e-05,4.25842e-05
100,1044.51,1.02382,0.82237,0.92487,0.96019,0.99634,0.995,0.79841,0.87627,0.74443,0.82206,2.84371e-05,2.84371e-05,2.84371e-05
